361976 U	S STAND	ARD							
2.70000 1	0	0  33.6	0000 11	6.44261	0	0.57	065   0	0	
									
WL	H2O	O3	MOLEC						
(NM)	TRANS	TRANS	SCAT						
633.5	0.9993	0.9646	0.9539						
634	0.9994	0.9649	0.9541						
634.5	0.9993	0.9652	0.9542						
635	0.9992	0.9655	0.9544						
635.5	0.9993	0.9658	0.9545						
636	0.9994	0.9661	0.9547						
636.5	0.9994	0.9664	0.9548						
637	0.9994	0.9667	0.9549						
637.5	0.9995	0.9671	0.9551						
638	0.9996	0.9674	0.9552						
638.5	0.9996	0.9677	0.9554						
639	0.9996	0.968	0.9555						
639.5	0.9996	0.9684	0.9556						
640	0.9996	0.9687	0.9558						
640.5	0.9996	0.969	0.9559						
641	0.9995	0.9693	0.9561						
641.5	0.9996	0.9696	0.9562						
642	0.9996	0.9699	0.9563						
642.5	0.9996	0.9702	0.9564						
643	0.9995	0.9704	0.9566						
643.5	0.9994	0.9707	0.9567						
644	0.9993	0.9709	0.9569						
644.5	0.9991	0.9712	0.957						
645	0.9989	0.9715	0.9571						
645.5	0.9983	0.9718	0.9573						
646	0.9972	0.972	0.9574						
646.5	0.9958	0.9722	0.9575						
647	0.9939	0.9725	0.9576						
647.5	0.9916	0.9727	0.9578						
648	0.991	0.9729	0.9579						
648.5	0.9919	0.9731	0.958						
649	0.9927	0.9733	0.9581						
649.5	0.993	0.9736	0.9583						
650	0.9951	0.9738	0.9584						
650.5	0.9971	0.974	0.9585						
651	0.9963	0.9742	0.9587						
651.5	0.9923	0.9744	0.9588						
652	0.9909	0.9746	0.9589						
652.5	0.9947	0.9748	0.9591						
653	0.9968	0.975	0.9592						
653.5	0.9967	0.9753	0.9593						
654	0.9969	0.9755	0.9594						
654.5	0.9957	0.9757	0.9595						
655	0.9947	0.9759	0.9597						
655.5	0.995	0.9761	0.9598						
656	0.9956	0.9763	0.9599						
656.5	0.9962	0.9766	0.96						
657	0.9965	0.9768	0.9602						
657.5	0.9965	0.977	0.9603						
658	0.9973	0.9772	0.9604						
658.5	0.9978	0.9774	0.9605						
659	0.9983	0.9776	0.9606						
659.5	0.9989	0.9778	0.9607						
660	0.9989	0.978	0.9609						
660.5	0.9991	0.9782	0.961						
661	0.9994	0.9784	0.9611						
661.5	0.9996	0.9786	0.9612						
662	0.9997	0.9788	0.9613						
662.5	0.9997	0.979	0.9614						
663	0.9997	0.9792	0.9615						
663.5	0.9997	0.9794	0.9617						
664	0.9998	0.9796	0.9618						
664.5	0.9997	0.9798	0.9619						
665	0.9997	0.98	0.962						
665.5	0.9998	0.9802	0.9621						
666	0.9999	0.9804	0.9622						
666.5	0.9999	0.9806	0.9623						
667	0.9999	0.9809	0.9624						
667.5	0.9999	0.9811	0.9626						
668	1	0.9813	0.9627						
668.5	1	0.9815	0.9628						
669	1	0.9817	0.9629						
